fornavn	etternavn	kjønn	addresse	oppstartsdato	ansvarsdag	epost	brukernavn	avdeling	senioritet	sertifisert	varslet
Astrid	Nilsen	hun	Aasenbråten 1H, 2601 Jensodden	1980-06-18	fredag	tonehaug@hotmail.com	emma58	4	6	False	False
Karoline	Kristoffersen	hun	Aunekollen 56, 1852 Ahmed	2013-01-12	lørdag	kjersti76@gmail.com	rhansen	4	3	True	False
Gunn	Hansen	hun	Solheimhavna 968, 7337 Janborg	2002-12-22	søndag	teliassen@yahoo.com	alfstrand	1	3	False	True
Mette	Haug	hun	Pettersenflata 4, 5354 Nguyen	2018-08-12	fredag	uhauge@hotmail.com	skristensen	2	5	False	False
Heidi	Rønning	hun	Jacobsenkroken 93, 0991 Larsen	1987-03-26	onsdag	xhalvorsen@hotmail.com	helgekristensen	3	6	False	False
Håvard	Moen	han	Kristoffersenengen 3A, 1668 Tangen	2018-03-08	onsdag	eriksenjon@yahoo.com	else23	3	3	False	False
Stine	Hagen	hun	Aasbakken 4, 5718 Helgeås	1970-03-28	fredag	joergenlund@yahoo.com	lamundsen	1	1	False	False
Roar	Strand	han	Edvardsenengen 8, 5795 Nguyen	2017-02-11	fredag	knut19@gmail.com	astrid86	3	3	True	False
Britt	Hanssen	hun	Thorsenløkka 359, 7382 Ninafjord	2015-12-30	fredag	karolinesimonsen@yahoo.com	tobias10	4	6	False	False
Jens	Rønning	han	Amundsenmarka 7, 5879 Lie	1982-12-29	fredag	irene26@gmail.com	larsenkaare	3	4	False	False
Ellen	Birkeland	hun	Johansenengen 1, 3142 Elifjord	1972-10-03	søndag	hagensofie@gmail.com	halvorsenmorten	2	2	False	False
Nina	Berge	hun	Sæthertjernet 8, 8178 Sondrehavn	1993-09-14	onsdag	runehaugen@gmail.com	edvardsenhaavard	3	6	False	False
Randi	Simonsen	hun	Jakobsenlia 6, 0588 Paulsen	2006-02-06	fredag	laila75@gmail.com	grethe68	4	6	False	False
Christian	Rønning	han	Johansentunet 93, 7506 Mathisen	1986-10-08	søndag	holmstian@hotmail.com	jenssencathrine	3	6	True	False
Ole	Andreassen	han	Solheimvika 83, 2079 Hegefjord	2019-07-23	lørdag	anne00@gmail.com	johnsenmarkus	4	6	False	False
Aud	Kristoffersen	hun	Solbergsvingen 3, 9492 Jakobsen	1975-11-02	fredag	emmachristensen@yahoo.com	slien	4	6	False	False
Unni	Mathisen	hun	Hagenstien 95, 1015 Jorunnvær	1989-08-20	onsdag	magnusknutsen@hotmail.com	livlien	1	3	False	False
Grete	Iversen	hun	Vikeggen 92, 2477 Erlingstad	2005-05-05	tirsdag	lundkirsten@yahoo.com	aaseedvardsen	2	4	False	False
Kim	Vik	han	Ahmedhavna 49, 8674 Hanssen	1985-08-02	mandag	sondre97@hotmail.com	lindamikkelsen	4	6	False	False
Siri	Rønning	hun	Eidespranget 97, 4440 Eliby	2008-03-14	tirsdag	yevensen@gmail.com	hansiversen	1	6	False	False
Maria	Larsen	hun	Aasbråten 56, 3813 Amundsen	2021-02-06	fredag	synnoevemyklebust@hotmail.com	qjohansen	4	6	False	True
Bente	Arnesen	hun	Mathisenspranget 30, 7074 Johanbø	2001-12-13	onsdag	irenejohannessen@yahoo.com	hildesivertsen	2	6	False	False
Aud	Berntsen	hun	Haugengata 2, 4716 Dahl	2006-07-08	onsdag	monaeide@yahoo.com	isaksenaud	2	6	False	False
Odd	Knutsen	han	Nygårdmarka 3, 5296 Lund	1991-07-01	tirsdag	ebrekke@hotmail.com	marte82	2	5	False	False
Tommy	Sivertsen	han	Andresentoppen 1G, 4917 Evensen	2007-06-17	fredag	xgulbrandsen@yahoo.com	britt64	2	6	False	False
Ruth	Tveit	hun	Bøerøa 89, 7380 Trondås	1993-02-24	mandag	dagabrahamsen@gmail.com	andreassengeir	1	2	True	False
Daniel	Antonsen	han	Andersenmarka 98, 1222 Svendsen	2012-12-28	onsdag	ellingsenmarkus@yahoo.com	bakkeneirik	2	6	False	False
Rolf	Moen	han	Jørgensenbakken 5, 6964 Elifjell	2016-10-10	søndag	knutsenroger@gmail.com	finn59	3	2	False	False
Steinar	Strøm	han	Eliassengata 1, 8394 Aas	2008-07-24	onsdag	laila66@hotmail.com	anders69	4	6	False	False
Kirsten	Thomassen	hun	Iversenstykket 4, 9975 Gunnstrøm	2019-11-25	torsdag	wahmed@yahoo.com	terje70	3	1	False	False
Bjørg	Sæther	hun	Hauglyngen 2, 4010 Bjørnhavn	2011-07-30	søndag	gmyhre@hotmail.com	sofiejohansen	2	4	False	False
Maria	Pettersen	hun	Bergroa 4, 2012 Eide	1982-03-15	lørdag	emikkelsen@hotmail.com	myklebustgunnar	4	6	False	False
Turid	Berntsen	hun	Moenmarka 42H, 3934 Antonsen	1996-10-15	mandag	gulbrandsenelin@gmail.com	akristensen	1	1	False	False
Vilde	Sivertsen	hun	Liestranda 3, 4296 Maritsand	2008-03-25	fredag	cgundersen@yahoo.com	marie60	3	2	False	False
Liv	Hagen	hun	Haugalléen 9, 1665 Isaksen	1999-08-17	onsdag	malinantonsen@gmail.com	chaugland	1	4	True	False
Steinar	Nilsen	han	Myklebustløkka 42, 4627 Solberg	1976-02-26	torsdag	aunemorten@gmail.com	joergenhansen	1	1	True	True
Wenche	Lie	hun	Næssplassen 22, 3730 Brittfoss	2018-11-09	tirsdag	andreassenanita@hotmail.com	kristensenmari	3	5	False	False
Gerd	Berg	hun	Pettersenmarka 47H, 1877 Martinsen	2005-08-12	søndag	alexander46@hotmail.com	evaandreassen	3	5	False	False
Stine	Ellingsen	hun	Pettersenvollen 5C, 1058 Steinborg	2019-04-01	fredag	gjensen@yahoo.com	mariushanssen	2	4	False	False
Britt	Bøe	hun	Sandvikløkka 4, 0634 Eriksen	2011-10-19	fredag	maren43@gmail.com	anetteboee	2	3	False	False
Sigurd	Eriksen	han	Næssspranget 158, 2243 Marieø	1984-10-20	torsdag	joergen31@hotmail.com	ojakobsen	1	3	False	False
Synnøve	Kristiansen	hun	Larsenvollen 36, 0279 Johnvåg	1979-07-08	mandag	einar78@gmail.com	leifsvendsen	3	4	False	False
Lars	Evensen	han	Lienrøa 9, 4590 Erikvåg	2011-10-10	onsdag	gretejakobsen@gmail.com	danielmathisen	1	4	False	False
Maria	Edvardsen	hun	Solheimløkka 68, 8727 Sæther	2001-03-11	onsdag	nygaardmartine@gmail.com	mette91	3	2	True	False
Hege	Nielsen	hun	Viktjernet 880, 4542 Thomassen	1971-09-01	mandag	magnenilsen@gmail.com	mjenssen	1	5	False	False
Line	Eliassen	hun	Paulsenløkka 8, 8911 Abrahamsen	2003-08-04	torsdag	maritisaksen@hotmail.com	vkristiansen	3	6	False	False
Christian	Larsen	han	Pedersenskrenten 851, 3349 Steinarnes	1990-08-31	fredag	aasenmagne@gmail.com	zjoergensen	3	4	False	False
Vidar	Lie	han	Johnsenlunden 4, 4048 Mortenberg	2019-12-30	fredag	jorunnjenssen@yahoo.com	karl04	1	5	False	False
Alf	Antonsen	han	Aasvika 904, 0375 Andresen	1994-05-19	søndag	cfredriksen@gmail.com	harald00	4	6	False	True
